"weight";"word";"color";"url"
"17";"debugging";"";"https://www.lorem.com"
"16";"tracing";"";"https://www.ipsum.com"
"13";"profiling";"";""
"13";"gdb";"";""
"13";"kernel";"";""
"12";"strace";"";""
"11";"ELF";"";""
"11";"ltrace";"";""
"11";"perf";"";""
"10";"top";"";""
"10";"debugfs";"";""
"10";"GCC";"";""
"10";"ftrace";"";""
"10";"trace-cmd";"";""
"10";"vmlinux";"";""
"10";"eBPF";"";""
"9";"BCC";"";""
"9";"KASAN";"";""
"8";"dmesg";"";""
"8";"bpftrace";"";""
"8";"UBSAN";"";""
"8";"KGDB";"";""
"8";"kmemleak";"";""
"8";"sparse";"";""
"8";"printk";"";""
"7";"ptrace";"";""
"7";"syscall";"";""
"7";"userspace";"";""
"7";"MMU";"";""
"7";"interrupt";"";""
"7";"segfault";"";""
"7";"panic";"";""
"7";"oops";"";""
"7";"KCacheGrind";"";""
"7";"kernelshark";"";""
"7";"valgrind";"";""
"7";"massif";"";""
"7";"libefence";"";""
"7";"kfence";"";"https://www.erat.com"
"7";"overflow";"";""
"7";"bugs";"";"https://www.dolor.com"
"6";"kprobes";"";""
"6";"coredump";"";""
